@relation House

@attribute Area real
@attribute Beds real
@attribute Baths real
@attribute Parkings real
@attribute CTS {n, y}
@attribute CTC {y, n}
@attribute CTT {n, y}
@attribute Heating {n, y}
@attribute View {n, y}
@attribute RentCat {N, UN, LN}

@data

108, 2, 1, 0, n, y, n, n, n, N
134, 1, 1, 0, n, y, n, y, n, N
145, 2, 1, 1, n, y, y, y, n, UN
167, 2, 1, 0, y, n, y, y, y, UN
211, 1, 1, 1, y, y, n, y, n, UN
483, 3, 1, 1, y, y, y, n, n, UN
233, 3, 2, 1, y, n, n, y, n, LN
161, 2, 1, 0, y, n, y, n, y, UN
374, 1, 1, 0, n, y, y, y, n, N
127, 1, 1, 1, y, n, n, y, n, LN
724, 3, 1, 0, y, n, n, y, y, N
695, 2, 1, 1, n, y, y, n, n, N
341, 2, 1, 1, y, n, y, y, y, UN
702, 3, 1, 1, y, n, n, y, y, UN
416, 2, 1, 0, n, y, y, n, n, N
376, 1, 1, 0, y, n, n, n, y, UN
586, 3, 1, 1, y, y, n, y, n, UN
214, 1, 1, 1, y, y, n, n, n, UN
535, 3, 1, 0, y, y, n, n, n, UN
380, 1, 1, 1, n, n, n, n, y, UN
648, 3, 1, 1, y, n, n, y, y, N
384, 3, 2, 1, y, y, n, n, y, UN
627, 3, 2, 0, y, y, n, y, n, UN
769, 3, 2, 1, y, n, y, n, y, N
359, 1, 1, 1, n, y, n, y, n, N
402, 3, 1, 0, y, n, y, y, y, N
532, 3, 1, 0, y, n, y, n, y, N
109, 3, 1, 1, y, y, y, y, y, UN
470, 3, 2, 1, y, n, y, y, y, N
108, 1, 1, 0, n, n, n, n, y, UN
414, 3, 1, 0, n, n, n, n, y, N
291, 1, 1, 1, n, y, y, n, n, N
167, 3, 1, 1, n, y, y, y, n, N
262, 3, 1, 1, y, n, n, y, n, LN
412, 3, 1, 0, n, y, y, y, n, N
552, 3, 2, 1, n, n, n, n, y, N
637, 3, 1, 0, y, n, y, y, y, UN
325, 2, 1, 0, y, y, n, y, n, UN
266, 2, 1, 1, y, n, y, n, y, UN
578, 3, 1, 0, y, n, n, y, y, N
689, 3, 1, 0, y, y, n, n, n, UN
557, 3, 2, 0, n, y, y, n, n, UN
438, 3, 1, 0, n, y, y, n, n, N
616, 3, 2, 0, y, n, n, y, y, UN
745, 3, 1, 1, y, n, n, y, y, N
498, 2, 1, 0, n, y, n, n, n, N
173, 1, 1, 1, n, n, n, n, n, LN
597, 3, 1, 1, y, n, n, y, y, N
210, 2, 1, 0, y, y, y, y, n, UN
588, 2, 1, 1, n, y, y, y, n, N
174, 2, 1, 1, y, y, n, n, n, UN
514, 1, 1, 0, y, y, y, n, n, UN
187, 3, 1, 1, y, y, n, n, n, UN
238, 2, 1, 0, y, n, n, y, y, UN
170, 1, 1, 1, y, n, n, y, n, LN
377, 2, 1, 1, y, y, n, y, n, UN
418, 1, 1, 1, y, y, y, n, n, UN
126, 1, 1, 1, y, y, n, y, n, UN
740, 2, 1, 1, y, y, y, y, n, UN
327, 1, 1, 1, n, y, n, n, n, N
791, 1, 1, 0, y, y, n, n, n, UN
486, 2, 1, 0, y, y, n, y, n, UN
669, 3, 1, 1, y, n, n, n, y, N
137, 1, 1, 1, y, n, n, n, n, LN
723, 3, 1, 1, y, y, y, n, n, UN
479, 3, 2, 1, n, n, n, n, y, N
645, 3, 1, 0, y, n, n, n, y, N
141, 1, 1, 1, n, y, n, y, n, N
732, 3, 1, 1, y, n, y, n, y, N
692, 3, 1, 0, y, n, y, y, y, N
310, 1, 1, 0, n, y, y, y, n, N
131, 3, 1, 1, y, y, y, n, n, UN
440, 3, 1, 0, n, n, n, n, y, N
185, 3, 1, 0, y, y, y, n, n, UN
289, 1, 1, 0, n, y, y, n, n, N
717, 3, 2, 0, n, y, n, n, n, N
708, 3, 1, 0, y, n, n, n, y, N
688, 2, 1, 1, n, y, y, y, n, N
456, 3, 2, 0, n, y, n, n, n, UN
624, 3, 1, 0, y, y, n, y, n, UN
751, 3, 1, 1, y, n, y, y, y, N
446, 3, 1, 1, y, y, y, n, n, UN
174, 3, 1, 1, y, n, n, y, n, LN
547, 3, 1, 0, y, y, y, y, n, UN
235, 3, 2, 0, n, y, y, n, n, N
640, 3, 2, 0, y, n, n, y, y, N
710, 2, 1, 0, n, y, n, n, n, N
485, 3, 2, 0, y, n, n, n, y, N
279, 1, 1, 1, n, y, y, n, n, N
473, 3, 2, 1, y, n, y, n, y, N
691, 3, 2, 1, y, n, n, y, y, N
201, 1, 1, 0, y, y, y, y, n, UN
681, 1, 1, 1, n, y, n, y, n, N
396, 2, 1, 1, n, y, n, n, n, N
242, 3, 2, 1, y, y, n, n, y, UN
508, 2, 1, 0, y, y, y, n, n, UN
692, 2, 1, 1, n, y, y, n, n, N
248, 2, 1, 1, n, n, n, y, y, UN
