@relation House

@attribute Area real
@attribute Beds real
@attribute Baths real
@attribute Parkings real
@attribute CTS {n, y}
@attribute CTC {y, n}
@attribute CTT {y, n}
@attribute Heating {y, n}
@attribute View {y, n}
@attribute RentCat {UN, N, LN}

@data

340, 3, 1, 0, n, y, y, y, y, UN
321, 3, 2, 1, n, y, n, y, y, UN
546, 3, 2, 0, y, y, n, y, n, UN
348, 1, 1, 0, n, y, n, y, n, N
434, 3, 2, 1, n, n, y, y, y, N
433, 3, 2, 0, y, y, n, n, n, UN
389, 2, 1, 1, y, n, y, y, y, UN
655, 3, 2, 0, y, y, y, n, n, UN
738, 3, 2, 0, n, n, n, y, y, N
549, 3, 1, 0, y, n, n, n, y, N
198, 3, 1, 1, y, n, y, y, n, LN
183, 3, 1, 0, n, y, y, n, y, UN
785, 3, 2, 0, n, n, n, n, y, N
312, 1, 1, 1, n, y, n, n, n, UN
264, 2, 1, 1, n, y, n, y, n, N
285, 2, 1, 1, n, n, n, n, y, UN
703, 2, 1, 0, y, y, n, y, n, UN
102, 3, 1, 1, y, y, y, y, n, UN
254, 1, 1, 1, y, n, y, n, y, UN
568, 3, 1, 1, y, y, n, n, n, UN
568, 3, 1, 1, y, n, y, y, y, UN
523, 1, 1, 0, y, y, y, n, n, UN
225, 2, 1, 0, y, y, n, n, n, UN
500, 2, 1, 1, n, y, n, n, n, UN
170, 3, 2, 1, n, n, y, n, n, LN
227, 3, 2, 0, n, y, y, y, n, N
621, 3, 2, 1, y, n, n, n, y, UN
357, 3, 2, 1, y, n, n, n, n, LN
295, 3, 2, 1, n, y, n, n, n, UN
494, 3, 2, 1, y, n, y, n, y, N
774, 3, 1, 0, y, y, n, y, n, UN
278, 2, 1, 0, n, n, n, y, y, UN
374, 2, 1, 1, n, y, n, y, n, N
609, 3, 2, 1, y, y, n, y, n, UN
232, 3, 1, 1, n, y, n, y, y, UN
766, 2, 1, 0, n, y, n, n, n, N
179, 1, 1, 0, y, n, y, y, n, LN
796, 2, 1, 0, y, y, n, y, n, UN
136, 2, 1, 1, y, y, n, y, n, UN
510, 3, 1, 0, y, n, n, n, y, N
670, 2, 1, 1, y, y, n, n, n, UN
495, 1, 1, 1, n, y, n, n, n, N
774, 2, 1, 0, y, y, y, n, n, UN
218, 3, 1, 1, y, n, n, y, n, LN
773, 2, 1, 0, y, y, y, y, n, UN
619, 2, 1, 1, n, y, n, y, n, N
760, 3, 2, 0, y, n, n, n, y, UN
228, 1, 1, 0, y, n, y, y, y, UN
709, 1, 1, 1, n, y, n, n, n, N
275, 2, 1, 1, y, n, y, n, y, UN
784, 3, 1, 0, n, n, n, n, y, N
185, 1, 1, 0, n, n, n, n, y, UN
739, 3, 1, 1, y, n, y, n, y, N
101, 1, 1, 0, y, y, y, y, n, UN
622, 2, 1, 1, y, y, n, n, n, UN
423, 2, 1, 0, y, y, n, n, n, UN
710, 1, 1, 1, n, y, y, n, n, UN
231, 1, 1, 1, n, n, y, n, y, UN
543, 3, 2, 0, n, y, y, n, n, N
633, 3, 1, 0, y, n, n, n, y, N
792, 3, 1, 0, y, n, n, n, y, UN
138, 1, 1, 0, n, n, y, n, y, UN
118, 1, 1, 1, y, y, y, y, n, UN
110, 1, 1, 0, n, n, n, n, n, LN
445, 3, 1, 1, n, y, y, y, n, N
284, 1, 1, 0, n, y, n, n, n, N
136, 1, 1, 1, n, n, n, n, y, UN
361, 3, 1, 0, y, y, y, y, n, UN
449, 3, 2, 0, n, y, n, n, n, UN
349, 1, 1, 0, y, y, y, n, n, UN
183, 3, 2, 0, n, y, y, n, n, N
724, 3, 2, 1, y, n, n, n, y, N
337, 1, 1, 0, y, y, n, n, n, UN
440, 3, 1, 0, y, y, n, n, n, UN
784, 2, 1, 0, y, y, n, y, n, UN
197, 2, 1, 1, y, y, n, n, n, UN
374, 3, 1, 1, n, n, n, n, n, LN
497, 1, 1, 0, y, y, y, n, n, UN
257, 1, 1, 0, y, y, y, y, n, UN
310, 2, 1, 0, n, y, y, y, n, N
151, 1, 1, 1, y, y, n, y, n, UN
342, 1, 1, 1, y, n, y, y, y, UN
220, 3, 2, 1, y, n, n, y, n, LN
392, 2, 1, 0, n, y, n, y, n, N
366, 1, 1, 1, n, n, y, n, y, UN
364, 2, 1, 1, y, y, n, n, n, UN
423, 3, 1, 1, y, y, y, n, y, UN
196, 3, 2, 1, n, y, n, n, n, N
129, 2, 1, 1, n, y, y, n, n, N
237, 3, 1, 1, n, y, n, y, n, N
721, 1, 1, 1, y, y, y, n, n, UN
713, 1, 1, 0, y, y, n, n, n, UN
485, 3, 2, 0, y, n, n, n, y, N
547, 3, 1, 0, y, n, y, y, y, UN
669, 3, 2, 1, y, n, n, y, y, N
485, 3, 1, 0, y, n, y, n, y, N
363, 3, 2, 1, n, y, y, y, n, N
118, 3, 2, 0, y, y, y, y, n, UN
439, 2, 1, 1, n, y, n, y, n, UN
141, 2, 1, 0, y, y, y, y, n, UN
482, 3, 1, 1, y, n, y, n, y, N
393, 3, 2, 1, y, n, y, y, n, LN
271, 1, 1, 0, y, y, n, n, n, UN
763, 1, 1, 0, y, y, n, y, n, UN
629, 3, 2, 1, y, n, n, y, y, N
228, 1, 1, 1, y, y, y, y, n, UN
214, 3, 2, 0, y, y, y, y, n, UN
366, 2, 1, 1, y, n, n, y, y, UN
638, 2, 1, 1, n, y, y, n, n, N
392, 2, 1, 0, y, n, n, y, y, UN
138, 3, 2, 1, y, n, y, n, n, LN
127, 1, 1, 0, n, n, n, y, y, UN
553, 2, 1, 0, y, y, y, y, n, UN
409, 1, 1, 1, y, y, y, y, n, UN
210, 3, 2, 1, y, y, y, n, n, UN
703, 3, 2, 1, y, n, y, n, y, UN
540, 2, 1, 0, y, y, n, y, n, UN
233, 3, 2, 1, y, y, y, y, n, UN
229, 2, 1, 0, n, y, n, n, n, N
385, 3, 2, 1, y, n, y, y, n, LN
756, 1, 1, 1, n, y, y, n, n, N
706, 2, 1, 0, n, y, y, n, n, N
375, 1, 1, 0, n, y, y, y, n, N
182, 3, 1, 0, y, y, y, n, n, UN
696, 3, 2, 1, n, n, n, n, y, UN
156, 2, 1, 0, n, y, y, y, n, N
514, 3, 1, 1, y, n, n, n, y, N
770, 3, 2, 0, n, n, n, y, y, N
741, 3, 2, 1, y, n, y, n, y, UN
411, 3, 2, 1, n, n, n, n, y, N
149, 3, 2, 0, y, y, n, n, y, UN
717, 3, 2, 1, y, n, n, y, y, N
194, 1, 1, 0, y, n, y, n, y, UN
565, 2, 1, 1, y, y, y, y, n, UN
730, 1, 1, 1, y, y, n, y, n, UN
208, 3, 1, 1, y, n, n, n, n, LN
330, 3, 1, 1, n, n, y, y, n, LN
505, 3, 1, 0, y, n, n, n, y, N
573, 3, 1, 1, y, n, y, y, y, N
476, 3, 1, 0, n, n, n, n, y, N
106, 1, 1, 0, y, n, y, y, y, UN
398, 2, 1, 0, n, y, n, n, n, UN
257, 2, 1, 1, n, y, n, n, n, UN
178, 2, 1, 0, n, y, y, n, n, N
482, 2, 1, 1, y, y, y, n, n, UN
586, 3, 2, 0, n, n, y, y, y, N
696, 3, 1, 0, y, n, n, y, y, N
102, 1, 1, 1, n, n, y, y, n, LN
791, 3, 1, 0, y, n, y, n, y, N
744, 2, 1, 1, y, y, y, n, n, UN
430, 2, 1, 1, n, y, y, n, n, N
477, 3, 2, 0, y, n, n, n, y, N
483, 1, 1, 1, y, y, y, n, n, UN
174, 2, 1, 1, n, n, y, y, y, UN
252, 3, 1, 1, n, y, n, y, n, N
610, 2, 1, 1, y, y, n, y, n, UN
159, 2, 1, 1, n, n, y, y, y, UN
290, 2, 1, 1, n, y, n, y, n, N
250, 1, 1, 0, n, y, y, y, n, N
257, 2, 1, 1, y, y, y, n, n, UN
265, 3, 1, 1, y, y, n, y, y, UN
668, 3, 1, 0, y, y, y, y, n, UN
122, 1, 1, 1, y, n, n, y, y, UN
541, 3, 1, 1, y, n, n, y, y, N
526, 3, 2, 1, y, n, n, y, y, N
278, 1, 1, 0, n, y, y, y, n, N
540, 1, 1, 1, y, y, y, n, n, UN
301, 2, 1, 0, y, n, y, y, y, UN
184, 3, 2, 0, y, y, n, y, y, UN
511, 3, 2, 1, y, n, n, y, y, N
655, 3, 2, 0, y, n, y, n, y, N
123, 3, 2, 1, y, n, y, n, n, LN
124, 2, 1, 1, y, y, n, n, n, UN
359, 2, 1, 0, n, n, n, y, y, UN
432, 3, 2, 1, n, n, n, y, y, N
623, 3, 2, 0, y, y, y, n, n, UN
353, 1, 1, 1, n, y, n, n, n, N
171, 2, 1, 0, n, y, y, y, n, N
173, 2, 1, 0, n, y, n, y, n, N
308, 3, 2, 1, y, n, y, y, n, LN
123, 1, 1, 1, y, y, y, y, n, UN
733, 1, 1, 0, y, y, y, n, n, UN
131, 3, 1, 0, y, y, n, n, n, UN
628, 2, 1, 1, y, y, y, n, n, UN
229, 2, 1, 1, n, y, n, y, n, N
357, 2, 1, 0, y, y, n, n, n, UN
224, 1, 1, 1, n, y, y, y, n, UN
497, 3, 1, 0, y, n, y, y, y, UN
434, 3, 1, 0, y, y, y, y, n, UN
449, 2, 1, 1, y, y, n, n, n, UN
752, 3, 1, 0, y, n, n, n, y, UN
732, 2, 1, 1, y, y, n, n, n, UN
278, 1, 1, 0, n, y, n, y, n, N
722, 3, 1, 0, y, n, y, n, y, N
280, 3, 1, 0, y, y, n, n, n, UN
