@relation House

@attribute Area real
@attribute Beds real
@attribute Baths real
@attribute Parkings real
@attribute CTS {n, y}
@attribute CTC {y, n}
@attribute CTT {n, y}
@attribute Heating {n, y}
@attribute View {n, y}
@attribute RentCat {UN, LN, N}

@data

610, 3, 1, 0, n, y, n, n, n, UN
393, 3, 2, 1, n, n, n, y, n, LN
442, 3, 1, 0, y, n, n, y, y, N
488, 3, 2, 1, n, n, y, n, y, UN
203, 1, 1, 0, y, n, n, n, y, UN
713, 3, 2, 0, n, n, y, y, y, N
281, 3, 2, 1, n, n, y, y, n, LN
777, 1, 1, 0, n, y, y, y, n, N
558, 1, 1, 0, n, y, n, n, n, UN
756, 3, 1, 1, n, n, n, y, y, N
536, 2, 1, 1, n, y, n, n, n, N
242, 2, 1, 0, n, n, y, y, y, UN
552, 3, 1, 1, n, y, n, y, n, N
561, 2, 1, 0, n, y, y, y, n, N
399, 3, 1, 1, n, y, y, y, y, UN
222, 1, 1, 0, y, n, n, n, y, UN
450, 1, 1, 1, n, y, y, n, n, UN
336, 2, 1, 1, n, n, n, n, y, UN
108, 3, 2, 1, n, n, n, y, n, LN
559, 3, 2, 0, n, y, n, y, n, N
444, 3, 2, 1, y, n, n, y, n, LN
614, 1, 1, 1, n, y, n, n, n, UN
305, 2, 1, 0, y, n, y, n, y, UN
349, 2, 1, 1, n, n, y, n, y, UN
378, 1, 1, 0, n, y, n, y, n, N
667, 3, 2, 0, n, y, y, y, n, N
613, 1, 1, 1, n, y, y, y, n, N
599, 2, 1, 0, y, y, n, y, n, UN
123, 3, 1, 1, y, n, y, n, n, LN
123, 3, 1, 1, n, y, n, y, n, N
681, 3, 2, 1, y, n, y, y, y, N
208, 2, 1, 0, n, y, n, y, n, N
753, 3, 1, 1, y, y, y, y, n, UN
210, 1, 1, 1, y, y, y, n, n, UN
129, 2, 1, 1, y, y, y, y, n, UN
686, 3, 2, 1, n, y, n, n, n, N
378, 1, 1, 1, y, y, n, n, n, UN
182, 1, 1, 0, n, n, n, n, y, UN
558, 3, 2, 0, n, y, y, y, n, N
335, 3, 2, 1, y, n, n, n, n, LN
301, 3, 1, 1, y, n, y, n, n, LN
188, 3, 2, 1, n, n, n, n, n, LN
436, 3, 2, 1, y, n, y, n, n, LN
147, 1, 1, 0, n, n, y, y, n, LN
613, 3, 1, 1, y, n, n, n, y, N
371, 1, 1, 0, y, n, y, n, y, UN
438, 1, 1, 1, y, y, n, y, n, UN
560, 1, 1, 1, n, y, y, n, n, N
150, 1, 1, 0, n, n, y, y, y, UN
267, 2, 1, 0, y, y, y, n, n, UN
507, 1, 1, 0, n, y, y, n, n, N
649, 3, 2, 1, n, n, n, y, y, N
725, 3, 1, 0, n, y, n, n, n, N
212, 3, 1, 1, y, n, y, n, n, LN
291, 2, 1, 1, n, y, n, y, n, N
690, 3, 2, 0, n, n, n, n, y, N
762, 3, 1, 0, n, y, y, n, n, N
219, 3, 1, 1, n, n, n, n, n, LN
349, 3, 1, 1, y, y, n, y, y, UN
170, 2, 1, 1, y, n, n, n, y, UN
767, 3, 1, 1, n, n, n, y, y, N
213, 3, 2, 1, y, y, n, n, y, UN
319, 3, 2, 1, y, n, n, n, n, LN
137, 1, 1, 1, n, n, n, y, n, LN
388, 2, 1, 1, n, n, y, n, y, UN
