@relation House

@attribute Area real
@attribute Beds real
@attribute Baths real
@attribute Parkings real
@attribute CTS {y, n}
@attribute CTC {n, y}
@attribute CTT {n, y}
@attribute Heating {y, n}
@attribute View {y, n}
@attribute RentCat {N, UN, LN}

@data

627, 3, 2, 1, y, n, n, y, y, N
210, 2, 1, 1, y, y, y, n, n, UN
425, 2, 1, 1, n, y, y, y, n, N
373, 1, 1, 1, n, y, y, y, n, N
505, 1, 1, 1, y, y, y, y, n, UN
429, 3, 2, 1, y, n, n, y, y, N
403, 3, 1, 0, y, y, n, n, y, UN
679, 1, 1, 0, n, y, n, n, n, N
260, 1, 1, 0, y, y, n, n, n, UN
321, 3, 1, 1, y, n, n, n, n, LN
796, 2, 1, 1, y, y, n, y, n, UN
635, 1, 1, 0, y, y, y, n, n, UN
305, 3, 1, 1, n, y, y, y, y, UN
467, 3, 2, 0, y, n, n, n, y, N
363, 2, 1, 1, n, y, n, n, n, N
693, 3, 2, 0, y, n, n, y, y, N
755, 1, 1, 0, y, y, y, n, n, UN
124, 1, 1, 1, y, y, n, n, n, UN
557, 3, 2, 0, n, n, y, n, y, N
225, 3, 1, 1, n, n, y, n, n, LN
718, 1, 1, 1, y, y, n, n, n, UN
742, 1, 1, 0, y, y, y, y, n, UN
723, 3, 2, 1, y, n, n, n, y, UN
280, 2, 1, 1, n, n, n, y, y, UN
163, 2, 1, 1, n, y, y, y, n, UN
152, 1, 1, 1, n, n, n, y, n, LN
125, 1, 1, 0, y, y, n, n, n, UN
577, 1, 1, 0, y, y, n, y, n, UN
105, 3, 1, 1, n, y, y, y, n, N
128, 2, 1, 0, n, n, n, n, y, UN
459, 3, 1, 0, y, n, y, y, y, N
347, 3, 2, 1, n, y, n, y, n, N
465, 3, 1, 1, y, n, y, y, y, N
304, 1, 1, 1, y, y, n, n, n, UN
387, 3, 1, 0, y, y, n, n, n, UN
732, 3, 1, 1, y, n, n, y, y, N
209, 3, 2, 1, n, n, y, n, n, LN
434, 3, 2, 0, y, n, n, n, y, N
734, 2, 1, 1, y, y, n, n, n, UN
129, 1, 1, 0, n, n, y, y, y, UN
159, 2, 1, 0, n, y, y, n, n, N
471, 3, 1, 0, y, n, n, n, y, N
696, 3, 1, 0, y, n, y, y, y, N
480, 2, 1, 0, y, y, y, n, n, UN
116, 3, 1, 1, n, n, y, y, n, LN
434, 1, 1, 0, n, y, y, n, n, N
221, 3, 1, 0, n, y, n, n, n, N
412, 3, 2, 1, n, y, n, n, y, UN
494, 2, 1, 1, n, y, n, y, n, N
507, 2, 1, 0, n, y, n, n, n, N
437, 3, 2, 1, n, n, n, y, n, LN
424, 3, 1, 1, n, n, n, y, n, LN
717, 3, 1, 0, y, n, n, y, y, N
558, 2, 1, 0, y, y, y, y, n, UN
498, 3, 2, 0, y, y, n, y, n, UN
457, 3, 1, 0, n, y, n, n, n, N
144, 3, 1, 1, n, n, n, n, n, LN
193, 2, 1, 1, n, y, n, y, n, N
581, 3, 2, 1, y, n, y, n, y, N
627, 3, 1, 1, y, n, n, y, y, N
311, 1, 1, 1, n, y, n, n, n, N
342, 3, 1, 1, n, n, y, y, n, LN
435, 3, 2, 1, y, y, y, y, n, UN
568, 3, 2, 0, y, y, n, y, n, UN
328, 2, 1, 0, n, y, n, n, n, N
258, 3, 2, 1, n, y, y, y, n, N
167, 2, 1, 0, y, n, y, y, y, UN
434, 2, 1, 0, n, y, n, n, n, N
417, 3, 2, 0, n, n, y, y, y, N
338, 3, 1, 1, y, n, y, n, n, LN
657, 3, 1, 1, y, n, y, n, y, UN
333, 1, 1, 1, y, n, y, n, y, UN
172, 1, 1, 1, n, n, n, y, y, UN
684, 3, 1, 0, y, n, y, n, y, UN
631, 3, 1, 1, y, n, y, n, y, N
794, 3, 1, 0, y, n, y, y, y, N
460, 3, 1, 0, y, n, y, y, y, UN
420, 3, 1, 0, n, y, n, n, y, UN
121, 3, 1, 0, y, y, n, y, n, UN
228, 1, 1, 0, n, n, y, y, y, UN
209, 2, 1, 1, n, y, y, n, n, UN
562, 3, 2, 0, n, n, y, n, y, N
688, 1, 1, 1, y, y, n, n, n, UN
287, 3, 1, 1, y, n, y, n, n, LN
205, 3, 2, 1, n, n, y, n, n, LN
769, 1, 1, 0, y, y, y, n, n, UN
434, 3, 2, 1, y, n, y, n, y, UN
341, 2, 1, 0, n, y, y, y, n, N
448, 2, 1, 1, y, y, y, n, n, UN
462, 3, 2, 1, n, n, y, y, y, N
519, 2, 1, 0, y, y, y, n, n, UN
630, 2, 1, 1, y, y, y, n, n, UN
634, 3, 2, 0, y, n, n, n, y, N
397, 2, 1, 1, n, n, n, n, y, UN
635, 3, 1, 1, n, n, n, n, y, N
382, 2, 1, 1, y, n, y, n, y, UN
568, 2, 1, 0, y, y, y, y, n, UN
755, 1, 1, 0, n, y, n, n, n, N
315, 3, 2, 0, y, y, y, y, n, UN
156, 2, 1, 1, n, y, y, n, n, UN
761, 3, 2, 1, n, n, y, n, y, N
465, 2, 1, 0, y, y, n, y, n, UN
181, 1, 1, 1, n, y, y, y, n, UN
161, 3, 2, 0, y, y, n, n, n, UN
365, 3, 2, 0, n, y, n, n, y, UN
178, 1, 1, 1, n, n, y, n, n, LN
305, 2, 1, 0, n, y, n, n, n, N
394, 1, 1, 1, y, y, n, n, n, UN
418, 1, 1, 0, y, y, n, y, n, UN
581, 2, 1, 1, y, y, n, n, n, UN
725, 3, 2, 1, y, n, y, n, y, N
