@relation House

@attribute Area real
@attribute Beds real
@attribute Baths real
@attribute Parkings real
@attribute CTS {y, n}
@attribute CTC {n, y}
@attribute CTT {n, y}
@attribute Heating {n, y}
@attribute View {y, n}
@attribute RentCat {N, UN, LN}

@data

540, 3, 2, 1, y, n, n, n, y, N
387, 1, 1, 1, y, n, n, y, y, UN
641, 3, 2, 0, y, y, n, y, n, UN
461, 3, 2, 0, n, n, y, y, y, N
442, 3, 2, 0, n, y, y, y, n, UN
193, 3, 1, 1, y, n, y, n, n, LN
438, 1, 1, 0, n, y, n, y, n, N
170, 3, 1, 1, y, n, y, y, n, LN
662, 3, 1, 0, y, y, n, n, n, UN
585, 3, 1, 1, y, n, y, n, y, N
350, 3, 2, 1, n, y, n, n, n, N
121, 1, 1, 0, n, y, y, n, n, N
756, 3, 2, 1, y, n, y, y, y, UN
475, 2, 1, 1, y, y, y, y, n, UN
670, 3, 2, 0, n, n, y, n, y, N
177, 3, 1, 1, y, y, y, n, n, UN
451, 3, 1, 0, n, y, y, y, n, UN
405, 3, 1, 1, n, n, n, n, n, LN
256, 1, 1, 0, y, y, n, n, n, UN
587, 1, 1, 1, y, y, y, n, n, UN
505, 3, 1, 0, y, y, n, y, n, UN
509, 1, 1, 1, y, y, y, y, n, UN
135, 3, 1, 0, n, y, y, y, n, N
402, 3, 1, 0, n, y, y, n, n, UN
193, 1, 1, 1, y, n, y, y, y, UN
717, 1, 1, 1, y, y, n, n, n, UN
448, 3, 2, 0, n, n, y, n, y, N
750, 3, 1, 0, n, n, n, y, y, UN
423, 3, 1, 1, n, n, n, y, n, LN
274, 1, 1, 1, n, n, n, n, y, UN
713, 3, 1, 1, n, n, y, n, y, N
334, 3, 2, 1, n, y, y, n, n, N
321, 1, 1, 0, n, y, n, y, n, N
271, 3, 1, 0, y, y, n, n, n, UN
289, 2, 1, 0, y, y, n, n, n, UN
236, 1, 1, 1, y, y, n, y, n, UN
397, 3, 1, 0, n, y, n, y, n, N
368, 2, 1, 1, n, y, n, y, n, UN
554, 3, 2, 0, y, y, n, n, n, UN
762, 3, 1, 0, y, y, y, n, n, UN
178, 1, 1, 1, y, y, n, n, n, UN
512, 2, 1, 0, y, y, y, y, n, UN
443, 3, 2, 0, y, y, n, y, y, UN
467, 3, 2, 1, y, n, y, n, y, N
154, 2, 1, 0, y, n, y, y, y, UN
737, 3, 1, 0, n, y, n, n, n, N
194, 3, 1, 1, y, n, n, n, n, LN
311, 3, 2, 1, y, n, n, y, n, LN
154, 2, 1, 1, n, y, n, n, n, UN
446, 3, 2, 1, n, y, n, n, n, N
197, 1, 1, 1, n, y, n, y, n, N
119, 3, 1, 1, n, n, n, n, n, LN
315, 2, 1, 0, n, n, n, y, y, UN
728, 1, 1, 1, y, y, y, n, n, UN
304, 1, 1, 0, n, n, n, n, y, UN
159, 1, 1, 0, y, y, n, y, n, UN
409, 1, 1, 0, n, y, y, y, n, N
375, 1, 1, 0, n, y, n, y, n, N
