@relation House

@attribute Area real
@attribute Beds real
@attribute Baths real
@attribute Parkings real
@attribute CTS {y, n}
@attribute CTC {n, y}
@attribute CTT {n, y}
@attribute Heating {y, n}
@attribute View {y, n}
@attribute RentCat {UN, LN, N}

@data

224, 1, 1, 1, y, n, n, y, y, UN
221, 3, 2, 1, y, n, n, n, n, LN
727, 3, 2, 1, n, n, y, y, y, N
305, 3, 2, 1, n, n, n, y, n, LN
714, 1, 1, 0, n, y, y, y, n, UN
289, 3, 2, 1, y, n, y, n, n, LN
315, 3, 2, 1, n, n, y, n, n, LN
594, 2, 1, 0, y, y, n, n, n, UN
308, 3, 2, 1, y, n, n, y, n, LN
772, 3, 1, 1, n, y, n, n, n, N
740, 3, 2, 0, n, y, y, y, n, UN
759, 3, 1, 1, n, n, y, y, y, N
631, 1, 1, 0, n, y, y, y, n, N
105, 1, 1, 0, y, n, n, y, y, UN
792, 3, 2, 0, n, n, y, y, y, UN
284, 3, 2, 0, y, y, y, n, y, UN
285, 1, 1, 0, y, n, n, y, y, UN
328, 2, 1, 1, y, y, n, n, n, UN
416, 3, 1, 1, n, n, n, n, n, LN
253, 2, 1, 1, n, n, y, y, y, UN
382, 2, 1, 0, n, n, n, y, y, UN
585, 2, 1, 1, n, y, y, y, n, N
493, 1, 1, 0, n, y, y, n, n, UN
630, 1, 1, 0, n, y, n, y, n, N
720, 3, 1, 0, n, n, n, y, y, N
185, 2, 1, 0, y, n, y, n, y, UN
103, 1, 1, 0, y, y, y, n, n, UN
794, 3, 2, 1, y, n, y, y, y, UN
110, 1, 1, 0, n, n, n, y, y, UN
173, 3, 2, 1, y, n, n, n, n, LN
786, 3, 1, 1, n, n, n, y, y, N
238, 1, 1, 0, n, n, n, n, y, UN
328, 3, 2, 1, n, n, n, y, n, LN
257, 1, 1, 1, y, y, y, n, n, UN
764, 2, 1, 0, n, y, y, y, n, N
403, 3, 1, 1, n, n, y, y, n, LN
672, 3, 2, 0, n, y, n, y, n, N
597, 3, 1, 0, n, y, y, n, n, N
386, 2, 1, 1, n, n, y, n, y, UN
191, 3, 2, 1, y, n, y, n, n, LN
132, 1, 1, 1, n, n, y, y, y, UN
169, 1, 1, 1, y, n, n, y, n, LN
328, 1, 1, 1, n, n, y, y, y, UN
718, 1, 1, 0, n, y, n, n, n, N
228, 3, 2, 0, n, y, n, y, y, UN
339, 3, 2, 1, y, n, y, n, n, LN
257, 1, 1, 0, y, n, n, y, y, UN
693, 3, 1, 1, n, n, n, n, y, UN
349, 2, 1, 1, n, n, n, n, y, UN
735, 2, 1, 0, y, y, n, n, n, UN
674, 3, 2, 1, n, y, y, y, n, N
750, 3, 1, 1, y, n, y, y, y, N
157, 1, 1, 0, n, n, y, y, y, UN
110, 1, 1, 0, n, n, y, y, n, LN
318, 2, 1, 1, y, n, y, y, y, UN
743, 3, 2, 1, n, n, n, n, y, N
434, 3, 1, 1, n, n, n, y, n, LN
135, 1, 1, 1, y, n, n, n, y, UN
214, 1, 1, 0, y, n, y, n, y, UN
482, 3, 1, 1, y, n, n, y, y, N
719, 3, 2, 0, n, y, y, n, n, UN
175, 1, 1, 0, y, n, n, y, n, LN
574, 2, 1, 0, y, y, y, y, n, UN
760, 3, 2, 1, n, y, y, n, n, N
180, 1, 1, 1, y, n, n, n, n, LN
458, 2, 1, 1, n, y, y, n, n, N
469, 3, 2, 0, y, n, n, y, y, N
266, 1, 1, 0, n, n, n, y, y, UN
624, 3, 1, 1, n, y, y, n, n, UN
654, 1, 1, 1, n, y, y, y, n, N
626, 3, 2, 0, n, y, n, y, n, UN
773, 3, 2, 1, n, y, y, y, n, UN
720, 3, 1, 0, n, n, n, n, y, N
435, 3, 1, 1, y, n, n, y, n, LN
169, 1, 1, 1, y, n, y, y, n, LN
159, 1, 1, 0, y, n, y, n, y, UN
120, 2, 1, 0, n, n, n, y, y, UN
617, 1, 1, 0, n, y, n, n, n, N
294, 3, 1, 1, y, n, y, y, n, LN
364, 2, 1, 1, n, n, y, n, y, UN
373, 1, 1, 0, n, n, y, y, y, UN
215, 3, 2, 1, n, n, y, n, n, LN
546, 3, 1, 0, n, n, n, n, y, N
627, 2, 1, 0, n, y, n, n, n, N
620, 3, 2, 1, n, n, n, n, y, N
