@relation House

@attribute Area real
@attribute Beds real
@attribute Baths real
@attribute Parkings real
@attribute CTS {y, n}
@attribute CTC {n, y}
@attribute CTT {n, y}
@attribute Heating {n, y}
@attribute View {y, n}
@attribute RentCat {N, UN, LN, UN166}

@data

704, 3, 2, 1, y, n, n, n, y, N
432, 3, 1, 1, y, n, y, y, y, N
387, 3, 2, 1, n, y, y, n, n, N
407, 3, 2, 1, y, y, y, y, y, UN
382, 2, 1, 1, n, n, y, n, y, UN
185, 1, 1, 0, n, y, n, n, n, N
370, 1, 1, 0, n, y, n, n, n, UN
113, 3, 1, 1, y, n, y, n, n, LN
394, 3, 1, 1, y, y, n, y, n, UN
792, 3, 2, 0, n, n, n, n, y, N
169, 2, 1, 0, y, n, n, n, y, UN
519, 1, 1, 1, n, y, y, n, n, N
225, 3, 2, 1, y, y, n, y, n, UN
486, 3, 2, 0, y, y, y, n, n, UN
413, 3, 2, 0, n, n, n, y, y, N
603, 3, 1, 1, n, y, y, y, n, N
269, 2, 1, 1, y, y, n, n, n, UN
182, 3, 1, 1, y, n, y, n, n, LN
293, 3, 1, 1, y, n, y, y, n, LN
786, 3, 2, 1, y, n, n, n, y, UN
343, 3, 1, 0, y, y, y, n, n, UN
116, 3, 2, 1, y, n, n, n, n, LN
661, 1, 1, 1, y, y, n, n, n, UN
676, 3, 1, 0, y, y, n, y, n, UN
344, 3, 1, 0, y, y, n, y, n, UN
180, 1, 1, 0, n, y, n, y, n, UN
540, 2, 1, 0, y, y, n, y, n, UN
793, 2, 1, 0, n, y, n, y, n, N
706, 1, 1, 0, y, y, y, n, n, UN
421, 3, 1, 1, n, n, n, y, y, N
204, 2, 1, 0, n, y, y, y, n, N
468, 3, 2, 1, y, y, n, n, n, UN
146, 1, 1, 0, y, n, n, y, n, LN
198, 3, 1, 1, n, y, y, n, n, N
536, 3, 2, 1, y, n, n, y, y, N
118, 1, 1, 1, n, n, n, n, y, UN
511, 3, 2, 1, y, n, n, y, y, N
389, 1, 1, 0, y, n, n, n, y, UN
791, 1, 1, 0, y, y, y, n, n, UN
748, 3, 2, 1, y, n, n, y, y, UN
387, 2, 1, 1, n, y, y, y, n, UN
377, 3, 1, 1, n, y, y, n, n, UN
440, 3, 2, 0, n, n, y, n, y, N
489, 3, 2, 0, y, n, y, n, y, N
650, 3, 2, 1, y, y, n, n, n, UN
333, 2, 1, 0, n, y, y, n, n, N
449, 3, 1, 1, n, n, y, n, y, UN
728, 2, 1, 1, y, y, y, n, n, UN
122, 3, 1, 0, n, y, n, n, n, N
151, 3, 1, 1, y, n, y, n, n, LN
193, 2, 1, 0, y, y, y, y, n, UN
249, 3, 1, 1, y, y, y, n, n, UN
689, 3, 2, 1, y, n, y, n, y, N
716, 2, 1, 0, y, y, n, n, n, UN
372, 1, 1, 0, n, y, n, n, n, N
702, 3, 1, 0, n, n, y, y, y, UN
232, 3, 1, 1, y, n, n, y, n, LN
175, 2, 1, 0, y, y, y, n, n, UN
193, 3, 1, 0, n, y, n, n, n, N
769, 2, 1, 1, y, y, n, y, n, UN
245, 2, 1, 0, n, y, n, n, n, UN
727, 2, 1, 1, y, y, y, n, n, UN
438, 3, 2, 1, y, n, n, y, y, N
540, 2, 1, 0, y, y, n, n, n, UN
381, 1, 1, 1, n, y, y, n, n, UN
479, 2, 1, 0, y, y, n, n, n, UN
798, 3, 1, 0, n, n, y, y, y, N
790, 3, 2, 1, y, n, n, y, y, UN
195, 3, 2, 1, n, n, n, y, n, LN
233, 2, 1, 0, y, y, y, n, n, UN
144, 3, 1, 1, n, n, y, y, n, LN
740, 3, 2, 1, n, n, n, n, y, UN
568, 2, 1, 1, y, y, y, n, n, UN
429, 3, 1, 0, y, n, y, y, y, N
355, 3, 2, 1, y, n, y, n, n, LN
537, 3, 1, 0, y, n, y, y, y, N
638, 3, 1, 1, n, y, y, y, n, N
241, 2, 1, 1, y, y, y, n, n, UN
553, 3, 2, 0, n, n, y, y, y, N
757, 3, 2, 1, n, n, n, y, y, N
408, 3, 1, 1, y, y, n, n, y, UN
308, 3, 1, 1, y, n, y, n, n, LN
262, 2, 1, 0, y, y, y, n, n, UN
713, 3, 1, 0, n, n, n, n, y, N
443, 3, 2, 1, n, n, n, y, n, LN
561, 3, 1, 1, n, y, n, y, n, UN
438, 3, 2, 1, y, n, y, n, y, N
677, 3, 2, 0, y, n, y, n, y, N
606, 2, 1, 1, y, y, n, n, n, UN
655, 3, 2, 0, y, n, y, n, y, N
364, 3, 1, 1, y, n, y, y, n, LN
149, 1, 1, 0, n, y, y, y, n, N
418, 3, 1, 0, y, n, n, y, y, N
414, 3, 1, 0, n, n, n, n, y, N
245, 1, 1, 1, n, y, n, y, n, UN
335, 1, 1, 0, y, y, n, n, n, UN
263, 3, 2, 0, n, y, n, y, n, N
404, 3, 2, 1, y, n, y, y, y, N
118, 1, 1, 1, y, n, n, n, y, UN
159, 1, 1, 0, y, y, n, y, n, UN
713, 2, 1, 1, y, y, n, y, n, UN
435, 2, 1, 1, y, y, n, n, n, UN
