@relation House

@attribute Area real
@attribute Beds real
@attribute Baths real
@attribute Parkings real
@attribute CTS {n, y}
@attribute CTC {n, y}
@attribute CTT {y, n}
@attribute Heating {n, y}
@attribute View {y, n}
@attribute RentCat {N, UN, LN}

@data

404, 3, 1, 0, n, n, y, n, y, N
276, 2, 1, 1, n, n, y, y, y, UN
165, 1, 1, 1, n, y, n, y, n, UN
570, 2, 1, 0, n, y, n, n, n, UN
207, 3, 1, 1, n, n, n, n, n, LN
421, 1, 1, 1, n, y, n, y, n, N
552, 3, 1, 0, y, n, n, n, y, UN
584, 3, 2, 1, y, n, y, y, y, N
406, 2, 1, 0, y, y, n, n, n, UN
156, 2, 1, 0, y, n, n, y, y, UN
437, 3, 2, 0, y, n, n, y, y, N
758, 3, 2, 0, y, y, y, y, n, UN
181, 2, 1, 1, n, y, n, y, n, N
592, 3, 1, 1, y, n, n, n, y, N
275, 3, 2, 0, y, y, n, n, y, UN
448, 3, 1, 1, n, y, n, y, n, N
326, 1, 1, 0, y, n, n, n, y, UN
579, 2, 1, 0, y, y, y, y, n, UN
136, 1, 1, 1, n, y, y, y, n, UN
440, 3, 2, 0, y, y, n, y, y, UN
375, 1, 1, 0, n, y, n, n, n, N
714, 2, 1, 1, y, y, y, n, n, UN
430, 2, 1, 0, n, y, y, y, n, N
587, 3, 2, 1, y, y, y, y, n, UN
333, 3, 1, 1, y, n, n, n, n, LN
207, 2, 1, 0, y, y, n, y, n, UN
135, 1, 1, 0, n, n, y, y, n, LN
169, 1, 1, 0, y, n, y, y, n, LN
249, 3, 2, 1, y, n, y, y, n, LN
561, 3, 1, 1, n, n, n, y, y, N
220, 2, 1, 1, n, n, n, y, y, UN
169, 3, 1, 0, y, y, n, y, n, UN
294, 3, 1, 0, n, y, y, y, n, UN
340, 2, 1, 1, y, n, y, n, y, UN
637, 3, 1, 1, n, y, n, n, n, N
291, 1, 1, 0, y, y, y, n, n, UN
346, 3, 1, 1, y, n, n, n, n, LN
501, 1, 1, 0, y, y, n, y, n, UN
153, 1, 1, 1, y, y, y, y, n, UN
638, 3, 1, 0, y, y, y, y, n, UN
221, 3, 2, 1, y, n, n, n, n, LN
489, 1, 1, 0, n, y, n, n, n, N
393, 2, 1, 0, y, y, y, n, n, UN
635, 3, 1, 1, y, n, n, n, y, N
210, 3, 1, 1, y, n, n, y, n, LN
240, 3, 1, 1, y, y, y, y, n, UN
798, 2, 1, 1, y, y, n, n, n, UN
359, 1, 1, 0, n, y, n, n, n, N
460, 3, 2, 0, y, n, y, y, y, N
210, 1, 1, 1, y, y, n, y, n, UN
532, 3, 1, 0, y, y, y, y, n, UN
728, 3, 1, 1, y, n, n, y, y, N
298, 3, 2, 1, n, y, y, y, n, N
326, 2, 1, 0, n, n, n, y, y, UN
659, 3, 1, 0, n, y, y, y, n, N
122, 1, 1, 1, n, y, y, n, n, N
481, 2, 1, 1, y, y, y, y, n, UN
784, 3, 1, 0, y, y, y, n, n, UN
459, 3, 2, 1, y, n, y, n, y, N
558, 3, 1, 1, y, n, n, y, y, UN
179, 1, 1, 0, y, y, y, n, n, UN
521, 3, 1, 1, y, y, y, y, n, UN
582, 1, 1, 0, y, y, y, n, n, UN
767, 1, 1, 1, y, y, y, y, n, UN
383, 1, 1, 1, y, y, n, n, n, UN
376, 3, 1, 0, y, y, y, n, y, UN
704, 3, 1, 0, y, n, n, n, y, N
125, 3, 1, 1, n, n, y, y, n, LN
233, 1, 1, 0, n, n, y, n, y, UN
208, 1, 1, 1, y, y, y, n, n, UN
594, 3, 1, 1, y, n, y, y, y, N
414, 3, 2, 0, y, n, n, n, y, N
439, 1, 1, 0, n, y, n, y, n, N
337, 3, 2, 0, y, y, n, y, n, UN
328, 1, 1, 1, y, n, y, n, y, UN
590, 3, 2, 0, y, n, y, y, y, N
448, 3, 1, 0, y, y, y, y, n, UN
569, 3, 2, 0, y, n, n, n, y, UN
305, 2, 1, 1, n, y, n, n, n, N
547, 3, 2, 1, y, n, y, n, y, N
729, 3, 2, 0, n, n, y, y, y, UN
118, 3, 1, 1, n, y, y, n, n, N
147, 1, 1, 0, y, y, y, n, n, UN
498, 3, 1, 0, n, y, y, n, n, N
563, 2, 1, 0, y, y, n, n, n, UN
409, 3, 1, 0, n, y, n, y, y, UN
791, 3, 2, 0, n, n, y, n, y, N
673, 3, 1, 0, y, n, y, n, y, N
400, 3, 2, 1, n, n, n, n, n, LN
681, 3, 2, 1, y, y, y, y, n, UN
432, 1, 1, 1, n, y, y, y, n, N
221, 2, 1, 1, n, y, y, n, n, N
683, 2, 1, 0, y, y, y, y, n, UN
363, 3, 1, 1, y, n, y, y, n, LN
306, 3, 2, 1, y, y, n, n, n, UN
419, 2, 1, 1, y, y, n, n, n, UN
269, 1, 1, 1, n, n, n, n, y, UN
262, 1, 1, 1, y, n, y, y, y, UN
519, 2, 1, 1, n, y, n, n, n, N
243, 1, 1, 0, y, n, y, n, y, UN
431, 3, 1, 1, y, y, n, n, y, UN
207, 3, 2, 0, n, y, n, n, n, N
107, 1, 1, 0, y, y, n, n, n, UN
601, 3, 1, 1, y, n, y, y, y, N
367, 2, 1, 0, y, y, n, n, n, UN
262, 2, 1, 0, y, y, n, y, n, UN
382, 1, 1, 0, n, y, n, y, n, N
306, 2, 1, 0, y, n, n, n, y, UN
748, 3, 1, 0, y, n, y, y, y, N
327, 2, 1, 0, n, n, n, y, y, UN
417, 3, 1, 0, n, n, y, y, y, N
392, 3, 2, 1, n, n, n, n, n, LN
364, 2, 1, 0, n, y, y, y, n, UN
395, 1, 1, 1, y, n, y, n, y, UN
461, 3, 1, 1, y, n, y, y, y, N
139, 2, 1, 1, n, y, n, y, n, N
712, 3, 1, 1, y, n, n, n, y, N
169, 3, 2, 0, n, y, n, n, n, N
274, 1, 1, 1, y, y, y, n, n, UN
340, 3, 1, 1, n, y, y, n, n, N
255, 3, 1, 1, y, y, n, y, n, UN
469, 3, 1, 0, y, n, y, y, y, N
454, 1, 1, 0, y, y, y, y, n, UN
465, 2, 1, 1, y, y, n, y, n, UN
352, 3, 2, 1, y, n, n, n, n, LN
721, 3, 1, 1, n, n, y, y, y, N
141, 3, 1, 1, y, y, n, n, n, UN
413, 3, 1, 0, n, n, n, n, y, N
511, 1, 1, 0, y, y, y, y, n, UN
440, 3, 2, 0, n, y, n, y, n, N
276, 2, 1, 0, n, n, y, n, y, UN
254, 2, 1, 0, n, y, y, y, n, N
322, 3, 1, 0, n, y, y, n, n, N
291, 1, 1, 1, y, y, n, y, n, UN
457, 3, 2, 0, n, y, y, y, n, N
216, 1, 1, 1, n, y, n, n, n, N
134, 1, 1, 0, n, y, y, y, n, N
172, 1, 1, 0, n, n, y, n, n, LN
156, 1, 1, 1, n, y, y, y, n, UN
236, 1, 1, 1, n, y, y, y, n, N
192, 3, 2, 0, y, y, y, n, n, UN
378, 3, 1, 1, y, n, y, y, n, LN
506, 3, 2, 1, n, n, n, y, y, N
742, 2, 1, 1, y, y, n, y, n, UN
784, 3, 2, 0, y, n, n, n, y, UN
409, 2, 1, 0, y, y, n, n, n, UN
457, 3, 2, 0, y, n, n, n, y, UN
600, 1, 1, 0, y, y, n, n, n, UN
614, 3, 1, 1, y, n, y, n, y, N
611, 3, 1, 1, y, y, y, y, n, UN
212, 3, 1, 0, n, y, y, y, n, N
742, 3, 2, 1, y, y, y, n, n, UN
368, 3, 1, 1, y, y, y, n, n, UN
334, 2, 1, 1, n, y, y, n, n, N
481, 3, 1, 0, y, n, n, y, y, N
432, 3, 2, 1, n, n, y, y, y, N
767, 2, 1, 0, n, y, n, y, n, N
360, 1, 1, 1, n, y, n, n, n, N
101, 1, 1, 0, n, n, y, y, y, UN
494, 3, 1, 1, y, n, y, y, y, N
342, 1, 1, 0, n, n, n, n, y, UN
639, 2, 1, 0, y, y, n, n, n, UN
277, 3, 2, 0, n, y, n, n, n, N
667, 3, 2, 0, y, n, y, y, y, N
261, 3, 1, 1, y, y, n, y, n, UN
291, 1, 1, 0, n, y, n, y, n, N
193, 1, 1, 1, y, y, y, n, n, UN
166, 2, 1, 0, y, y, y, y, n, UN
264, 1, 1, 1, n, y, y, n, n, N
300, 1, 1, 1, n, y, n, n, n, N
315, 3, 1, 1, y, y, y, n, n, UN
310, 2, 1, 1, y, y, n, n, n, UN
116, 2, 1, 0, n, y, n, y, n, N
300, 3, 1, 1, y, n, n, y, n, LN
342, 3, 2, 1, n, n, n, y, n, LN
788, 2, 1, 1, y, y, n, y, n, UN
701, 1, 1, 0, y, y, n, y, n, UN
125, 3, 1, 0, n, y, y, n, n, N
611, 3, 1, 0, y, n, y, y, y, N
529, 3, 1, 1, y, n, y, n, y, N
430, 3, 1, 1, n, n, y, y, n, LN
406, 3, 2, 1, y, y, n, y, n, UN
449, 3, 1, 0, y, n, y, y, y, UN
131, 3, 2, 1, n, n, y, n, n, LN
252, 2, 1, 0, y, y, y, n, n, UN
756, 3, 1, 0, y, n, y, y, y, UN
208, 2, 1, 0, n, y, n, n, n, N
719, 3, 2, 0, n, n, y, y, y, UN
526, 3, 2, 1, y, n, y, y, y, N
178, 1, 1, 1, n, n, n, n, y, UN
235, 3, 1, 0, y, y, n, n, n, UN
340, 3, 2, 1, n, y, n, n, n, N
726, 3, 2, 0, y, n, y, n, y, N
508, 3, 2, 0, n, n, y, y, y, UN
322, 2, 1, 1, n, n, y, n, y, UN
738, 3, 2, 1, y, n, y, y, y, UN
599, 3, 1, 0, y, n, y, y, y, UN
309, 1, 1, 0, n, y, n, y, n, N
755, 3, 1, 0, y, n, y, y, y, N
378, 2, 1, 0, y, y, y, y, n, UN
754, 1, 1, 0, n, y, y, n, n, N
596, 1, 1, 0, y, y, y, y, n, UN
718, 2, 1, 1, n, y, n, n, n, UN
516, 3, 2, 1, y, n, y, y, y, N
257, 1, 1, 1, y, n, y, n, y, UN
405, 1, 1, 1, n, y, n, n, n, UN
406, 3, 2, 0, y, n, n, n, y, UN
503, 3, 1, 1, y, n, n, n, y, N
480, 1, 1, 0, y, y, y, n, n, UN
185, 1, 1, 0, n, y, y, y, n, N
605, 3, 2, 0, y, y, y, n, n, UN
235, 1, 1, 1, y, y, y, y, n, UN
196, 3, 2, 1, n, n, y, n, n, LN
733, 3, 1, 1, y, n, n, n, y, N
406, 3, 2, 0, y, y, y, y, n, UN
266, 2, 1, 0, y, y, y, y, n, UN
320, 2, 1, 0, n, y, y, y, n, N
597, 2, 1, 0, y, y, y, y, n, UN
107, 3, 2, 1, y, n, n, n, n, LN
390, 2, 1, 1, y, y, n, n, n, UN
416, 3, 2, 1, n, y, y, n, n, N
268, 3, 1, 1, n, n, y, y, n, LN
260, 3, 2, 1, y, n, n, n, n, LN
497, 1, 1, 0, y, y, n, y, n, UN
417, 3, 2, 0, y, n, n, n, y, N
209, 2, 1, 1, y, n, n, y, y, UN
277, 3, 2, 1, n, y, y, n, n, N
438, 1, 1, 0, y, y, n, n, n, UN
415, 3, 2, 0, n, n, y, n, y, N
480, 2, 1, 0, y, y, y, y, n, UN
767, 3, 1, 1, y, n, y, y, y, N
