@relation House

@attribute Area real
@attribute Beds real
@attribute Baths real
@attribute Parkings real
@attribute CTS {y, n}
@attribute CTC {n, y}
@attribute CTT {y, n}
@attribute Heating {n, y}
@attribute View {y, n}
@attribute RentCat {UN, LN, N, LN672}

@data

171, 2, 1, 0, y, n, y, n, y, UN
338, 3, 2, 1, y, n, n, y, n, LN
140, 1, 1, 0, n, y, n, n, n, N
379, 2, 1, 0, y, y, n, n, n, UN
645, 1, 1, 1, n, y, n, y, n, UN
375, 1, 1, 1, n, n, y, y, y, UN
411, 1, 1, 1, y, y, n, y, n, UN
648, 2, 1, 1, y, y, n, n, n, UN
692, 3, 1, 0, n, n, n, y, y, UN
387, 1, 1, 0, y, y, y, y, n, UN
695, 3, 2, 0, y, n, n, y, y, N
184, 1, 1, 0, y, y, y, y, n, UN
189, 1, 1, 1, n, y, n, y, n, UN
145, 3, 2, 1, y, y, n, y, n, UN
205, 3, 2, 1, y, y, y, y, n, UN
163, 1, 1, 0, n, y, y, y, n, UN
743, 2, 1, 0, n, y, n, n, n, UN
126, 3, 2, 1, y, y, n, y, n, UN
345, 2, 1, 0, n, n, y, n, y, UN
536, 3, 1, 0, n, n, y, n, y, UN
391, 1, 1, 0, y, n, n, y, y, UN
608, 1, 1, 0, n, y, n, n, n, N
183, 3, 1, 0, y, y, y, n, n, UN
159, 3, 2, 1, n, y, n, n, n, N
134, 1, 1, 1, y, y, n, y, n, UN
412, 3, 2, 1, y, n, y, y, n, LN
122, 1, 1, 1, y, n, n, y, y, UN
382, 2, 1, 0, y, y, n, n, n, UN
666, 3, 1, 0, y, n, y, y, y, N
752, 1, 1, 0, n, y, y, y, n, N
125, 1, 1, 1, n, y, y, n, n, N
402, 2, 1, 0, y, y, y, y, n, UN
229, 3, 1, 1, n, y, n, n, n, N
641, 3, 2, 1, y, n, y, n, y, N
369, 1, 1, 0, n, n, n, n, y, UN
627, 1, 1, 0, n, y, y, n, n, N
140, 1, 1, 1, y, n, y, y, y, UN
120, 2, 1, 1, n, n, y, n, y, UN
115, 1, 1, 0, y, y, y, n, n, UN
177, 2, 1, 1, y, y, y, y, n, UN
534, 1, 1, 0, n, y, n, n, n, UN
577, 3, 2, 1, n, n, y, y, y, N
667, 1, 1, 1, n, y, y, n, n, N
390, 2, 1, 0, y, y, y, y, n, UN
652, 3, 2, 1, y, n, n, y, y, N
617, 1, 1, 0, y, y, n, n, n, UN
235, 1, 1, 0, n, y, y, y, n, N
697, 3, 2, 0, y, y, y, y, n, UN
109, 1, 1, 1, y, n, n, y, n, LN
131, 1, 1, 1, y, y, n, n, n, UN
760, 3, 1, 0, y, n, n, y, y, UN
181, 2, 1, 0, n, n, y, n, y, UN
517, 3, 2, 0, n, n, n, y, y, UN
537, 3, 1, 0, y, n, y, n, y, N
692, 3, 1, 1, y, n, y, n, y, N
775, 3, 2, 0, y, n, n, y, y, N
569, 3, 2, 0, y, n, y, y, y, N
529, 1, 1, 0, y, y, y, n, n, UN
306, 2, 1, 1, n, y, y, n, n, N
131, 3, 2, 0, n, y, n, y, n, N
525, 2, 1, 0, y, y, y, n, n, UN
453, 3, 1, 0, y, n, n, n, y, N
230, 2, 1, 1, y, y, n, n, n, UN
569, 3, 2, 1, n, n, n, y, y, N
388, 3, 1, 0, n, y, y, y, n, N
224, 2, 1, 1, n, y, y, n, n, N
432, 1, 1, 0, y, y, y, y, n, UN
193, 2, 1, 0, y, y, n, n, n, UN
793, 3, 2, 1, y, n, y, n, y, N
672, 2, 1, 0, y, y, n, n, n, UN
599, 3, 1, 0, n, n, y, n, y, N
792, 3, 1, 1, y, n, y, n, y, UN
674, 2, 1, 1, n, y, n, y, n, N
661, 3, 2, 0, y, n, y, n, y, UN
347, 2, 1, 1, n, y, n, n, n, N
617, 3, 1, 1, y, n, y, y, y, N
481, 3, 1, 1, n, n, y, y, y, N
452, 1, 1, 0, n, y, n, y, n, N
735, 3, 2, 0, y, n, n, n, y, N
335, 3, 2, 1, n, y, y, n, n, N
506, 1, 1, 0, y, y, n, n, n, UN
337, 1, 1, 1, y, n, n, n, y, UN
403, 3, 2, 0, n, n, y, y, y, N
403, 2, 1, 1, n, y, n, y, n, N
772, 3, 2, 0, y, n, y, n, y, UN
442, 3, 2, 1, n, n, y, n, y, N
601, 3, 1, 1, y, n, n, y, y, N
189, 2, 1, 1, y, n, n, y, y, UN
