@relation House

@attribute Area real
@attribute Beds real
@attribute Baths real
@attribute Parkings real
@attribute CTS {n, y}
@attribute CTC {n, y}
@attribute CTT {y, n}
@attribute Heating {n, y}
@attribute View {n, y}
@attribute RentCat {LN, UN, N}

@data

420, 3, 1, 1, n, n, y, n, n, LN
107, 3, 2, 1, y, y, n, n, n, UN
633, 1, 1, 0, y, y, y, y, n, UN
208, 3, 1, 1, y, n, n, y, n, LN
695, 3, 2, 0, y, n, n, n, y, N
310, 2, 1, 0, n, y, n, n, n, N
330, 2, 1, 0, n, y, y, y, n, N
637, 3, 1, 0, y, n, y, n, y, N
371, 2, 1, 1, n, n, y, y, y, UN
415, 3, 1, 1, n, y, y, y, n, N
224, 2, 1, 1, n, n, y, y, y, UN
476, 1, 1, 0, y, y, y, n, n, UN
205, 2, 1, 0, n, n, n, y, y, UN
244, 1, 1, 1, n, n, n, y, y, UN
670, 3, 2, 1, y, y, y, y, n, UN
351, 1, 1, 0, y, y, n, n, n, UN
654, 2, 1, 0, n, y, n, n, n, UN
297, 2, 1, 1, n, y, y, y, n, N
731, 3, 2, 1, y, n, y, y, y, N
796, 2, 1, 0, y, y, n, y, n, UN
554, 3, 1, 0, y, y, n, n, n, UN
642, 3, 1, 1, y, n, n, y, y, UN
147, 2, 1, 1, n, y, y, n, n, N
695, 1, 1, 1, y, y, y, n, n, UN
260, 1, 1, 0, n, y, n, y, n, N
223, 1, 1, 0, n, y, y, n, n, N
681, 3, 1, 0, n, n, y, y, y, N
172, 2, 1, 1, y, n, y, y, y, UN
473, 1, 1, 1, y, y, n, y, n, UN
532, 3, 1, 1, y, n, y, n, y, N
339, 1, 1, 0, y, y, y, n, n, UN
510, 3, 1, 1, n, y, n, n, n, UN
442, 3, 1, 1, y, n, n, n, y, N
211, 3, 1, 1, n, n, y, y, n, LN
179, 2, 1, 1, y, y, y, y, n, UN
141, 2, 1, 1, y, y, n, n, n, UN
155, 3, 1, 0, y, y, n, n, n, UN
430, 2, 1, 0, y, y, y, n, n, UN
685, 3, 2, 0, y, y, n, n, n, UN
523, 3, 2, 0, y, n, y, y, y, N
115, 3, 2, 1, n, y, n, y, n, N
338, 3, 1, 1, n, y, n, n, n, N
376, 3, 1, 1, n, y, n, y, n, N
500, 3, 2, 1, y, n, n, n, y, N
114, 1, 1, 0, n, n, n, y, y, UN
263, 3, 1, 1, n, y, n, y, n, N
147, 2, 1, 0, y, n, n, y, y, UN
526, 3, 2, 1, y, n, y, n, y, N
668, 3, 2, 0, y, n, n, n, y, N
157, 3, 1, 1, y, y, n, y, y, UN
437, 1, 1, 1, y, y, n, n, n, UN
357, 1, 1, 0, n, y, n, n, n, N
255, 2, 1, 1, n, y, n, y, n, N
167, 1, 1, 0, y, n, n, y, n, LN
660, 3, 2, 0, y, n, n, y, y, N
798, 1, 1, 1, y, y, y, n, n, UN
553, 3, 1, 0, y, n, y, y, y, UN
167, 3, 1, 1, y, y, n, y, n, UN
146, 2, 1, 1, n, n, y, n, y, UN
214, 3, 2, 1, n, n, n, y, n, LN
186, 2, 1, 1, n, y, y, y, n, UN
721, 3, 2, 1, y, n, n, n, y, N
539, 3, 2, 0, y, n, y, n, y, N
438, 1, 1, 1, n, y, n, n, n, UN
353, 1, 1, 0, y, n, n, y, y, UN
283, 2, 1, 0, n, y, y, n, n, N
299, 2, 1, 0, y, y, n, n, n, UN
146, 3, 2, 1, y, n, n, y, n, LN
427, 3, 2, 0, y, y, n, n, n, UN
229, 1, 1, 0, n, y, y, y, n, N
372, 3, 1, 0, y, y, n, n, n, UN
132, 1, 1, 1, y, n, y, y, n, LN
367, 2, 1, 1, n, y, y, n, n, N
462, 3, 1, 1, y, n, y, y, y, N
199, 1, 1, 0, y, y, n, n, n, UN
753, 3, 1, 0, y, n, n, n, y, N
418, 3, 2, 0, y, y, n, y, n, UN
621, 3, 2, 1, n, n, y, y, y, N
370, 1, 1, 1, y, y, y, n, n, UN
409, 3, 2, 1, n, y, n, y, y, UN
717, 2, 1, 1, y, y, y, n, n, UN
461, 3, 1, 1, n, n, y, n, y, N
279, 2, 1, 0, y, y, n, y, n, UN
470, 1, 1, 0, n, y, y, y, n, N
313, 2, 1, 1, n, y, n, n, n, N
274, 2, 1, 0, n, n, y, n, y, UN
652, 3, 1, 0, n, n, n, y, y, N
425, 3, 2, 1, n, n, n, y, n, LN
284, 2, 1, 0, n, y, n, y, n, N
323, 3, 1, 1, n, y, n, y, n, N
550, 1, 1, 1, n, y, y, y, n, N
413, 2, 1, 1, n, y, y, y, n, N
737, 3, 1, 1, y, n, y, n, y, UN
334, 1, 1, 1, n, y, n, n, n, N
160, 3, 1, 0, n, y, y, n, n, UN
248, 2, 1, 0, y, n, y, y, y, UN
558, 3, 1, 1, y, n, n, y, y, N
310, 1, 1, 1, y, y, n, y, n, UN
329, 2, 1, 1, y, y, n, y, n, UN
141, 3, 1, 1, y, n, y, y, n, LN
492, 1, 1, 1, y, y, y, y, n, UN
603, 2, 1, 1, y, y, n, y, n, UN
772, 2, 1, 0, y, y, y, n, n, UN
664, 3, 2, 1, y, y, y, n, n, UN
388, 3, 1, 1, y, n, y, n, n, LN
598, 3, 1, 0, y, y, y, y, n, UN
153, 3, 2, 1, y, y, y, n, n, UN
282, 3, 2, 1, n, y, y, y, n, N
141, 2, 1, 1, n, y, y, n, n, N
583, 3, 1, 1, y, n, n, y, y, N
359, 1, 1, 1, n, y, y, n, n, UN
337, 1, 1, 1, n, y, n, n, n, N
527, 3, 1, 1, y, n, n, n, y, N
326, 3, 2, 1, y, y, n, n, n, UN
269, 2, 1, 0, n, y, n, n, n, N
742, 3, 2, 1, y, n, y, y, y, N
199, 2, 1, 1, n, y, n, n, n, N
369, 2, 1, 0, y, n, n, n, y, UN
437, 3, 1, 0, y, n, y, n, y, N
368, 1, 1, 0, n, y, y, n, n, N
474, 3, 1, 1, n, y, y, n, n, N
447, 3, 2, 1, y, n, y, y, y, N
506, 3, 2, 1, n, n, y, n, y, N
287, 3, 2, 1, y, y, y, y, n, UN
155, 2, 1, 1, n, n, n, n, y, UN
200, 3, 1, 1, n, y, y, y, n, N
134, 1, 1, 1, n, y, y, n, n, N
575, 2, 1, 0, y, y, y, y, n, UN
118, 2, 1, 1, n, y, y, n, n, N
610, 2, 1, 0, y, y, n, n, n, UN
378, 2, 1, 0, y, y, y, n, n, UN
579, 3, 1, 1, y, n, y, n, y, N
214, 1, 1, 1, y, y, n, y, n, UN
554, 3, 1, 0, y, y, n, y, n, UN
718, 1, 1, 1, y, y, y, y, n, UN
226, 3, 1, 1, n, n, n, y, n, LN
245, 1, 1, 0, n, y, n, y, n, N
177, 3, 2, 1, n, y, y, y, y, UN
348, 1, 1, 1, y, y, y, n, n, UN
348, 2, 1, 0, y, y, y, n, n, UN
693, 3, 2, 1, y, n, n, y, y, N
740, 3, 1, 0, y, n, n, n, y, N
475, 1, 1, 1, n, y, y, y, n, UN
664, 3, 2, 0, y, n, n, y, y, N
286, 2, 1, 1, n, y, n, n, n, N
555, 2, 1, 1, y, y, n, y, n, UN
273, 2, 1, 0, n, n, n, n, y, UN
338, 3, 2, 1, y, n, n, y, n, LN
751, 3, 1, 1, y, y, n, n, n, UN
705, 3, 1, 0, n, y, y, n, n, N
713, 3, 1, 0, n, y, n, y, n, N
127, 1, 1, 0, y, n, n, n, n, LN
170, 3, 2, 0, y, y, y, n, n, UN
774, 3, 1, 1, n, n, n, y, y, N
414, 3, 1, 1, n, y, n, y, n, N
115, 1, 1, 0, n, y, y, n, n, N
567, 3, 2, 0, y, y, y, n, n, UN
729, 3, 2, 1, n, n, y, n, y, N
106, 1, 1, 0, y, n, n, n, y, UN
311, 1, 1, 1, y, y, y, y, n, UN
401, 3, 1, 0, y, y, y, y, n, UN
240, 3, 1, 0, n, y, y, y, n, N
176, 3, 1, 0, y, y, n, n, n, UN
438, 3, 1, 1, n, n, n, n, y, N
625, 3, 2, 0, y, n, y, y, y, UN
444, 3, 2, 0, n, y, y, n, y, UN
205, 3, 1, 0, n, y, n, y, n, N
764, 2, 1, 0, y, y, y, y, n, UN
597, 3, 1, 1, y, n, n, y, y, N
605, 3, 1, 0, y, n, n, n, y, N
674, 2, 1, 1, y, y, n, y, n, UN
359, 3, 1, 1, n, n, n, y, n, LN
549, 3, 2, 0, y, y, y, n, n, UN
435, 3, 2, 0, y, n, y, n, y, UN
498, 1, 1, 0, n, y, n, y, n, UN
705, 3, 2, 1, y, n, n, y, y, N
417, 3, 2, 0, y, n, y, y, y, N
200, 1, 1, 1, y, y, y, y, n, UN
163, 3, 2, 0, y, y, n, n, n, UN
349, 3, 1, 0, y, y, n, n, n, UN
488, 3, 2, 1, n, n, y, n, y, N
216, 2, 1, 1, y, y, n, y, n, UN
433, 3, 2, 1, y, n, y, n, y, N
322, 1, 1, 0, n, y, n, n, n, N
136, 1, 1, 0, y, y, y, y, n, UN
285, 1, 1, 1, y, n, y, n, y, UN
173, 2, 1, 1, n, y, n, y, n, N
155, 3, 1, 0, n, y, y, y, n, N
717, 3, 1, 1, n, n, y, n, y, N
680, 3, 1, 0, y, y, n, y, n, UN
102, 2, 1, 0, n, n, n, y, y, UN
409, 2, 1, 0, y, y, n, y, n, UN
411, 3, 1, 0, y, y, n, n, n, UN
245, 3, 2, 1, y, y, y, n, n, UN
246, 2, 1, 1, n, n, y, y, y, UN
717, 1, 1, 1, y, y, y, n, n, UN
508, 3, 1, 0, y, n, y, n, y, N
663, 3, 1, 1, y, y, n, y, n, UN
290, 1, 1, 0, y, n, y, n, y, UN
745, 3, 1, 0, y, n, n, y, y, UN
462, 3, 1, 0, y, n, y, y, y, N
227, 3, 1, 0, n, y, n, y, n, UN
437, 1, 1, 0, n, y, n, y, n, N
249, 1, 1, 1, y, y, y, n, n, UN
603, 3, 1, 1, y, n, n, n, y, UN
447, 1, 1, 0, y, y, n, y, n, UN
652, 2, 1, 1, n, y, n, n, n, UN
408, 3, 2, 1, y, n, n, y, y, N
111, 1, 1, 0, n, n, n, y, n, LN
350, 2, 1, 0, n, y, n, n, n, N
464, 3, 2, 1, n, n, y, y, y, N
230, 1, 1, 1, y, y, y, n, n, UN
622, 3, 1, 0, y, n, n, y, y, UN
290, 3, 2, 1, y, y, n, y, y, UN
419, 3, 2, 1, n, y, y, n, n, UN
308, 3, 1, 1, n, y, y, n, n, UN
150, 1, 1, 0, y, y, y, n, n, UN
387, 3, 2, 1, y, n, n, y, n, LN
585, 3, 1, 0, n, y, y, y, n, UN
327, 3, 2, 1, n, y, n, y, y, UN
242, 1, 1, 1, y, y, n, y, n, UN
347, 2, 1, 0, y, y, y, n, n, UN
551, 1, 1, 0, y, y, y, y, n, UN
730, 1, 1, 0, n, y, y, y, n, UN
617, 3, 1, 1, n, n, y, n, y, N
675, 1, 1, 0, y, y, y, y, n, UN
193, 2, 1, 0, y, y, n, n, n, UN
673, 2, 1, 0, y, y, n, n, n, UN
472, 3, 1, 0, n, n, n, n, y, N
303, 1, 1, 0, n, y, n, n, n, N
704, 3, 1, 1, y, n, n, n, y, N
673, 2, 1, 0, y, y, n, n, n, UN
577, 3, 2, 0, y, n, n, n, y, N
328, 3, 1, 1, n, n, n, n, n, LN
486, 2, 1, 1, y, y, y, n, n, UN
197, 1, 1, 0, y, n, y, y, n, LN
544, 3, 1, 0, y, y, n, n, n, UN
186, 3, 2, 1, n, n, n, n, n, LN
711, 3, 2, 0, y, y, n, n, n, UN
779, 1, 1, 1, y, y, y, y, n, UN
543, 2, 1, 0, n, y, n, y, n, N
152, 3, 1, 1, y, n, n, n, n, LN
776, 3, 1, 0, y, y, y, n, n, UN
798, 3, 1, 0, y, n, n, y, y, N
690, 2, 1, 0, n, y, n, n, n, UN
127, 1, 1, 0, n, n, y, y, n, LN
234, 1, 1, 0, y, y, n, n, n, UN
718, 3, 2, 0, n, n, y, y, y, N
371, 3, 2, 0, y, y, y, n, n, UN
411, 3, 2, 0, n, y, y, n, n, UN
444, 3, 2, 1, n, n, y, n, n, LN
272, 3, 2, 1, y, n, n, y, n, LN
421, 2, 1, 1, n, y, y, y, n, N
537, 3, 1, 0, n, n, n, n, y, N
426, 3, 2, 1, y, n, n, n, y, UN
273, 2, 1, 1, n, y, n, n, n, N
314, 3, 2, 1, n, n, y, y, n, LN
595, 3, 2, 0, n, n, n, y, y, UN
530, 3, 2, 1, y, n, y, n, y, N
297, 2, 1, 1, y, y, n, n, n, UN
379, 2, 1, 0, y, y, n, n, n, UN
109, 2, 1, 1, y, y, y, y, n, UN
719, 3, 1, 1, y, y, y, n, n, UN
313, 2, 1, 0, y, y, n, n, n, UN
762, 3, 2, 1, y, n, y, n, y, N
256, 2, 1, 1, n, n, y, y, y, UN
710, 3, 1, 1, y, n, y, y, y, N
253, 1, 1, 1, n, y, n, n, n, N
639, 3, 2, 0, y, n, n, y, y, N
466, 3, 2, 1, y, n, n, y, y, N
410, 3, 1, 1, y, n, n, n, n, LN
143, 3, 1, 0, y, y, n, n, n, UN
359, 2, 1, 1, y, y, n, n, n, UN
500, 1, 1, 0, n, y, y, y, n, N
712, 3, 1, 0, n, n, n, y, y, N
736, 3, 1, 1, y, y, y, n, n, UN
777, 3, 2, 1, y, y, y, y, n, UN
168, 1, 1, 0, n, n, n, y, n, LN
637, 2, 1, 0, y, y, y, y, n, UN
225, 1, 1, 0, y, n, n, n, y, UN
248, 1, 1, 0, n, y, n, n, n, N
625, 3, 1, 0, n, n, y, y, y, UN
234, 3, 1, 0, n, y, y, y, n, N
400, 3, 1, 1, y, y, y, y, y, UN
261, 2, 1, 1, n, n, y, n, y, UN
591, 3, 1, 1, y, y, y, n, n, UN
694, 2, 1, 1, n, y, y, y, n, N
387, 3, 1, 1, y, y, n, n, n, UN
781, 3, 1, 0, y, n, n, y, y, UN
226, 3, 1, 1, y, n, n, y, n, LN
359, 1, 1, 0, n, n, y, n, y, UN
140, 3, 1, 1, n, n, n, n, n, LN
142, 1, 1, 1, y, n, y, n, n, LN
416, 3, 2, 0, n, y, y, n, y, UN
352, 1, 1, 0, y, y, y, y, n, UN
299, 3, 1, 1, y, y, y, y, n, UN
271, 2, 1, 1, y, y, n, y, n, UN
790, 3, 2, 1, n, n, n, n, y, N
116, 1, 1, 1, n, n, n, n, y, UN
121, 3, 1, 0, n, y, y, y, n, N
397, 1, 1, 1, n, y, n, n, n, N
555, 2, 1, 0, y, y, n, n, n, UN
427, 3, 2, 0, y, n, n, n, y, UN
762, 3, 1, 1, y, n, y, n, y, N
649, 2, 1, 1, n, y, y, y, n, UN
405, 3, 2, 0, n, n, y, y, y, N
549, 3, 1, 0, y, y, y, y, n, UN
182, 3, 2, 1, n, y, y, y, n, UN
253, 2, 1, 0, n, y, y, n, n, N
464, 3, 2, 1, y, n, n, n, y, UN
259, 2, 1, 1, y, y, y, n, n, UN
643, 1, 1, 1, y, y, y, y, n, UN
674, 3, 2, 1, n, n, n, y, y, N
726, 3, 1, 1, n, n, y, y, y, N
642, 3, 1, 0, n, n, n, y, y, N
270, 2, 1, 0, y, n, y, y, y, UN
470, 2, 1, 1, n, y, n, n, n, UN
486, 3, 2, 1, y, n, n, y, y, N
114, 2, 1, 0, y, y, n, y, n, UN
696, 1, 1, 0, y, y, n, n, n, UN
146, 2, 1, 1, n, y, y, y, n, N
446, 3, 1, 1, n, n, n, y, n, LN
629, 3, 1, 0, n, n, y, y, y, N
184, 1, 1, 1, n, n, y, y, y, UN
549, 3, 2, 1, y, n, n, y, y, N
215, 3, 2, 1, n, y, n, y, n, N
451, 3, 1, 1, n, n, n, y, y, N
323, 1, 1, 0, n, n, n, y, y, UN
127, 1, 1, 1, y, n, n, n, y, UN
433, 3, 1, 1, n, n, y, y, y, N
440, 3, 1, 1, y, n, y, y, n, LN
113, 3, 2, 1, n, y, n, y, y, UN
777, 1, 1, 0, y, y, n, n, n, UN
372, 1, 1, 1, n, n, n, y, y, UN
270, 2, 1, 0, y, n, y, n, y, UN
238, 1, 1, 1, y, n, y, y, y, UN
515, 3, 1, 1, y, n, y, y, y, N
642, 1, 1, 0, y, y, y, n, n, UN
228, 3, 1, 0, n, y, n, y, y, UN
381, 1, 1, 0, n, n, y, n, y, UN
704, 1, 1, 1, y, y, y, y, n, UN
345, 3, 1, 1, y, n, y, y, n, LN
456, 3, 1, 1, n, y, y, y, n, N
542, 3, 2, 1, y, n, y, n, y, N
338, 1, 1, 0, y, y, y, y, n, UN
222, 1, 1, 0, y, n, y, n, y, UN
755, 2, 1, 0, y, y, n, n, n, UN
572, 3, 1, 0, n, n, n, n, y, UN
168, 2, 1, 0, n, y, y, y, n, N
104, 1, 1, 0, n, y, n, y, n, N
113, 1, 1, 0, n, y, y, y, n, N
130, 1, 1, 0, n, n, y, y, n, LN
314, 2, 1, 0, y, y, n, n, n, UN
255, 2, 1, 0, y, y, n, n, n, UN
319, 3, 1, 0, n, y, n, n, n, UN
660, 3, 1, 1, y, y, n, n, n, UN
642, 2, 1, 0, y, y, y, n, n, UN
443, 3, 2, 1, n, n, y, y, y, N
637, 3, 2, 1, y, n, y, n, y, UN
286, 3, 1, 1, y, n, y, n, n, LN
484, 2, 1, 1, y, y, y, y, n, UN
145, 2, 1, 1, n, y, n, n, n, N
133, 1, 1, 1, y, n, n, n, n, LN
744, 3, 2, 0, y, y, n, n, n, UN
293, 1, 1, 1, n, y, y, y, n, N
740, 3, 1, 1, y, n, y, n, y, N
557, 3, 2, 0, y, y, y, y, n, UN
571, 2, 1, 1, y, y, y, y, n, UN
290, 3, 1, 1, n, n, n, y, n, LN
562, 3, 1, 1, y, n, n, n, y, N
126, 3, 1, 1, y, y, n, n, y, UN
104, 3, 2, 0, y, y, n, n, y, UN
340, 3, 2, 1, y, n, n, y, n, LN
705, 2, 1, 0, n, y, y, n, n, UN
450, 3, 1, 0, y, n, n, y, y, N
524, 3, 1, 0, y, n, n, n, y, N
125, 2, 1, 1, n, n, y, y, y, UN
216, 3, 2, 0, y, y, y, n, n, UN
541, 2, 1, 0, y, y, y, y, n, UN
474, 3, 1, 1, y, n, y, n, y, N
